Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162266667,0.169433333,0.1609,0.343148333,0.524456667,0.7068,0.889143333,1.071486667,1.25439,1.436173333,1.618886667,1.801135,1.983383333,2.165631667,2.34788,3.09276,2.20704,,,
NL,,,,,,,,,,,,,,,,,,,,,9.198,9.2282,9.2584,9.2886,9.3188,9.349,9.0758,8.8026,8.5294,8.2562,7.983,7.983,7.6878,7.3926,7.0974,6.8022,6.507,6.9885,7.47,7.9515,8.433,8.9145,9.573575,10.23265,10.891725,11.5508,11.2462,10.9416,10.71,11.41,10.93,10.19,10.7163,10.64,9.49,8.411,8.0234,7.9162,8.0902,8.4034,8.306,7.9462,8.2343,,,
NO,,,,,,,,,,,,,,,,,,,,,2,2.02624375,2.0525,2.07873125,2.104975,2.13121875,2.1574625,2.18370625,2.20995,2.23619375,2.2624375,2.28868125,2.314925,2.34116875,2.3674125,2.39365625,2.4199,2.396033333,2.372166667,2.3483,2.406414286,2.569128571,2.554042857,2.578657143,2.809271429,2.739185714,2.939,3.026,2.93425,2.8425,2.8056,2.7686,2.7317,2.7538,2.77877,2.71333,2.64789,2.69063,2.688451652,2.686463304,2.684324956,2.64249,2.68787,,,
PL,,,,,,,,,,,10.113,10.7968,11.4806,12.1644,12.8482,13.532,13.8518,14.1716,14.4914,14.8112,15.131,15.3874,15.6438,15.9002,16.1566,16.413,16.1638,15.9146,15.6654,15.4162,15.167,14.2735,13.38,13.2626,13.1452,13.0278,12.9104,12.793,12.5782,12.3634,12.1486,11.9338,11.719,11.7786,11.8382,11.8978,11.9574,12.017,11.36,11.507,10.866,11.91,11.468,11.24,10.631,10.448,10.289,10.08,9.598,8.983979,8.667,9.267,9.385,,,
PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5984,10.0701619,11.54192381,13.01368571,12.85211429,12.27954286,11.70697143,11.1344,10.90103353,10.66466707,10.4313006,10.19793414,9.964567669,9.731201203,9.497834737,9.058796842,9.146,9.079288889,9.012577778,8.945866667,8.879155556,8.812444444,8.745733333,8.679022222,8.612311111,8.5456,6.16147,6.12953,6.12953,6.12953,6.12953,6.12953,,,
RO,,,,,,,,,,,9.59,10.552,11.514,12.476,13.438,14.4,15.28,16.16,17.04,17.92,18.8,19.14,19.48,19.82,20.16,20.5,20.482,20.464,20.446,20.428,20.41,20.25333333,20.09666667,19.94,17.97,16,14.23,12.46,12.76,12.65,9.65,9.058,9.222,8.508,7.124,6.11,5.33,6.884,7.22,6.876,6.219,6.592,6.482,6.418,6.282,6.465,6.374,6.773,6.416,6.993,7.396,7.864,8.151,,,
RU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6,88.35,77.1,75.56619048,74.03238095,72.49857143,70.9647619,69.43095238,75.9,66.2,65.76666667,65.33333333,64.9,69.3,64.03333333,63.6,63.16666667,62.73333333,69.7,61.86666667,64,61,70.81,62.44,64.79,64.41,64.82,64.82,64.82,64.82,64.82,,,
SM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87265,3.9578,4.691,4.634,4.419,4.75,4.403,4.709,3.935,4.689,4.7064,5.377,5.5575,5.618,5.098,4.831,5.091,,,
SK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.572,1.479,1.386,1.348,1.31,1.263833333,1.217666667,1.1715,1.13295,1.0944,1.0319,0.9694,0.9069,0.7974,0.6879,0.6637,0.6281,0.6007,0.5931,0.6653,0.6374,0.5593,0.5736,0.5553,0.5563,0.5565,0.5586,0.555,0.5662731,0.56362352,,,
SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8992,0.907333333,0.915466667,0.9236,0.9295,0.9354,1.04,0.9427,0.9255,0.8503,0.928,1.1556,0.9803,0.897,0.8873,0.9314,0.961,0.944,1.003,0.931,0.827,,,
SE,,,,,,,,,,,4.073,4.0854,4.0978,4.1102,4.1226,4.135,4.1292,4.1234,4.1176,4.1118,4.106,3.8788,3.6516,3.4244,3.1972,2.97,2.97075,2.9715,2.97225,2.973,2.968,2.9705,2.973,2.890333333,2.807666667,2.725,2.718,2.711,2.703333333,2.695666667,2.688,2.676,2.676,2.661,2.646,2.631,2.6305,2.63,2.649666667,2.669333333,2.689,2.6262,2.5634,2.5006,2.4378,2.375,2.3966,2.4182,2.4398,2.4614,2.483,2.483,2.483,,,
TR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5995,32.27432143,32.94914286,33.62396429,34.29878571,34.97360714,35.64842857,36.32325,42,40.93916667,39.87833333,38.8175,39.53808333,40.25866667,40.97925,41.469625,41.96,45.13,46.96,48.735,50.51,51.24,51.97,53.71,59.61,58.788985,61.09358,62.33582,62.10226,58.4,64.46964,,,
UA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,25.037,24.072,23.107,22.142,21.177,20.212,19.247,18.28,17.6422,17.0024,16.3626,15.7228,15.08,15.0356,14.988,14.9408,14.8934,14.85,13.86225,12.8745,11.88675,10.899,9.109,9.325,10.705,10.705,10.596,9.459,8.3671,4.8609,,,
KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
