Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,
LV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.813,2.05,3.32,4.39,6.31906208267861,7.21934580836289,21.94,26.98,38.58,46,53.63,59.17,63.41,66.84,68.42,69.7499545592245,73.1199437663748,75.2344,75.8261041383556,79.2005829239344,79.8420977843089,80.1140770037369,83.5771748630956,86.13545644343,88.89796078,91.17964988,91.03009059,92.18791291,92.70757011,,
MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,42.1848634460346,46.6461423640265,48.0471171729696,49.4911689195459,52.4901966838546,55.46480179,61.47600174,64.37770081,67.25,70.1,75,80.30000305,87,90.69999695,92.40000153,93.36329651,95.20819855,97.0530014,,98,98.57080078,99.07759857,98.75189972,98.87049866,99.04489899,,
MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0.000825,0.00346,0.00464,0.0281,0.261,0.601,1.28284641670022,1.48781295215565,3.78724279887342,7.40754458415897,10.629390841654,14.6302704551796,19.6206477051634,20.45,23.39,27.5,29.68000031,32.06999969,34.65000153,37.43999863,66.9999982002077,69.0000044661932,70.9999991066624,71.76709747,72.54239655,73.32610321,74.11830139,74.91899872,74.91899872,76.50330353,77.3687973,,
MK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.0407,0.076,0.504,1,1.5,2.48556631640066,3.46818460849398,17.33,19.07,24.44,26.45000076,28.62,36.29999924,46.04,51.77,51.9,56.7,57.449947312961,65.24,68.0584815397496,70.3802030766689,72.1568144676058,74.5168241807954,79.1677551850871,81.4128827618364,81.40553811,81.873703,83.85030365,88.5,93.6,93.1,
MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,0.225,1.05,3.92,6.5,7.76,13.1137087111024,17.8778483243348,28.92,31.64,34.62,41.24,40.41,46.9,50.08,58.86,63,68.0198237885462,68.1998742928975,68.9138,73.1141157845193,75.9600189752747,78.0751488032182,81.0119110762945,81.6580442928014,85.7785963798031,86.85876183,87.46977742,91.54062209,92.07266941,93.86029816,,
ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3500686036232,27.10000038,28.89999962,30.79999924,32.90000153,35.09999847,37.5,35.6115412460109,56.8387825490631,60.31,63.8868840056697,68.1197860085679,69.8816468416779,71.2723325399382,71.5171004874886,73.4766657478691,77.60879306,82.21969752,88.22192026,88.5515976,88.88258428,,
NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.334,0.531,1.32,1.97,3.26,6.47,9.65,14.1,22.2,39.2,43.984351373138,49.3730621073123,61.29,64.35,68.52,81,83.7,85.82,87.42,89.63,90.72,91.4199957622284,92.859992359525,93.9564,91.6666666666667,91.7241379310345,90.4109589041096,93.1972789115646,91.8918918918919,93.2885906040269,91.33333333,92.05298013,92.51968504,97.00680272,97.00679779,,
NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.707,1.41,2.22,2.78,4.15,6.42,18.3,20.4,22.6,40,52,64,72.84,78.13,77.69,81.99,82.55,86.93,90.57,92.08,93.39,93.4899826515194,94.6499780533304,95.0534,96.3005098242892,96.810325691365,97.2982036675068,96.3576012951191,96.4916579887094,98.0000043853142,94.60755647,99.0000036,98.99997764,99.00000258,99,,
PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.00523,0.0521,0.13,0.389,0.648,1.3,2.07,4.1,5.46,7.2854287080601,9.9006697073534,21.15,24.87,32.53,38.81,44.58,48.6,53.13,58.97,62.32,61.94999896898,62.3099972714691,62.8492,66.5987360557248,67.9969871556415,73.3007040962669,75.9853659493832,77.5417345350006,80.4359068768673,83.18488715,85.37490906,86.94113479,86.414744,88.58496367,,
PT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.1,0.25,0.45,0.719,1.49,2.98,4.95,9.87,14.7,16.4304676923534,18.0871365595338,19.37,29.67,31.78,34.99,38.01,42.09,44.13,48.27,53.3,55.2499968797194,60.3399974868057,62.0956,64.5924200648949,68.6328614804299,70.423567088723,73.7912139515729,74.6609681487507,75.3463779408712,78.26166044,82.30902804,84.49690644,85.79012676,88.48704454,,
