"Country Name","Country Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"Romania","RO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.58","2.46","2.18","2.4","2.6","3.08","3.59","6.49","7.32","8.09","7.44","7.34","7.43","6.13","7.43","8.31","7.68","8.57","11.2","12.71","13.71","12.52","12.28","14.99","17.05","16.64","16.61","15.33","15.61","15.3","15.79","15.15","15.51","17.51","",""
"Russian Federation","RU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.18","5.29","5.83","6.17","6.23","6.49","6.66","6.99","7.05","7.54","7.84","8.16","8.24","8.24","8.27","8.35","8.41","8.58","8.34","9.02","8.58","8.4","8.46","8.62","8.84","9.48","9.45","9.51","9.15","9.71","10.22","9.38","9.27","9.46","",""
"San Marino","SM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Serbia","RS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.3","4.97","5.17","5.33","6.4","6.26","6.05","5.22","5.16","7.67","6.24","5.77","5.43","4.54","5.06","6.13","5.24","4.93","4.92","6","6.57","4.63","5.52","5.91","7.17","5.92","6.12","5.11","6.08","5.86","5.48","6.62","5.09","7.3","",""
"Slovak Republic","SK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.46","16.56","16.83","18.53","20.97","19.12","18.22","17.87","19","21.54","26.46","26.56","27.68","26.88","26.43","26.98","27.56","24.86","25.96","24.54","23.3","24.63","25.78","26.22","27.61","25.8","25.24","24.45","24.08","26.2","27.37","25.47","27.31","31.93","32.31",""
"Slovenia","SI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.53","28.8","25.76","23.88","26.54","25.13","24.14","23.94","24.97","24.03","24.13","24.5","24.89","22.87","24.48","24.38","23.47","23.35","24.86","26.63","25.72","26.65","25.73","26.54","33.45","28","28.25","28.84","28.24","28.64","33.05","29.44","28.11","32.52","33.33",""
"Sweden","SE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.86","52.25","49.32","48.22","48.6","47.87","46.25","48.3","50.36","50.51","45.87","50.91","45.63","44.18","48.6","49.35","45.99","47.08","46.45","43.54","42.07","44.85","48.7","48.06","49.13","51.45","48.98","50.03","49.83","51.14","49.58","48.82","50.89","49.9","51.37",""
"Turkiye","TR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.77","4.8","5.29","6.17","5.82","6.09","6.29","6.03","6.35","5.6","4.75","4.47","5.46","5.42","6.49","5.75","5.62","4.61","4.6","5.4","6.76","6.79","7.24","8.09","7.29","9.83","10.58","10.34","11.94","14.53","14.86","13.44","14.83","15.29","15.68",""
"Ukraine","UA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.23","8.16","9.06","10.56","11.45","11.75","14.32","15.01","15.44","14.81","15.79","15.57","15.6","15.63","16.69","17.15","18.17","18.05","18.24","19.92","18.53","19.45","20.08","19.92","22.76","25.4","24.05","26.13","24.85","25.47","24.82","26.03","28.83","26.44","",""
"Kosovo","KV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.230154373039585","0.188229160203063","0.189112729461966","0.180852881395381","0.358176725718234","0.361696015080989","0.338694132593639","0.30380384306702","0.242909114218788","0.342892770845777","0.439342772043643","0.29190683510895","0.273454539465683","0.383520484232539","0.519176378508478","","","","","","","","","","",""
